Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code,Target final redirect no-crawl reason,Is source noindex,Is source canonical,Is final redirect internal,Is final redirect indexable
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/faq,307,,,https://www.pravdast.agency/faq,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/contact,307,,,https://www.pravdast.agency/contact,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/terms,307,,,https://www.pravdast.agency/terms,200,,false,true,true,false
Canonical,false,https://www.pravdast.agency/services/clickstarter,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,false,true,false
Canonical,false,https://www.pravdast.agency/services/clientomat,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,false,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/case-studies,307,,,https://www.pravdast.agency/case-studies,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/campaigns,307,,,https://www.pravdast.agency/campaigns,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-narchnik-za-razshireno-seo-prez-2025,307,,,https://www.pravdast.agency/blog/wp-narchnik-za-razshireno-seo-prez-2025,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/services,307,,,https://www.pravdast.agency/services,200,,false,true,true,false
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,307,,,https://www.pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-za-izgrazhdane-na-silen-brand,307,,,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-za-izgrazhdane-na-silen-brand,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-10-strategii-za-da-nakarate-klientite-da-se-vrshhat-za-oshhe,307,,,https://www.pravdast.agency/blog/wp-10-strategii-za-da-nakarate-klientite-da-se-vrshhat-za-oshhe,200,,false,true,true,true
Sitemap URL,false,https://www.pravdast.agency/sitemap.xml,200,https://pravdast.agency/blog/wp-8-stpkov-marketingov-odit-za-dohododosna-2025g,307,,,https://www.pravdast.agency/blog/wp-8-stpkov-marketingov-odit-za-dohododosna-2025g,200,,false,true,true,true
